substrate,eps_r,tan_delta,h_mm,h_over_lambda0,W_mm,L_mm,area_mm2,eps_eff,R_edge_ohm,matchable_by_inset,inset_mm,Q_rad,Q_c,Q_d,Q_t,efficiency,bandwidth_pct,directivity_dBi,gain_dBi,in_thin_substrate_range,meets_bandwidth,meets_efficiency,meets_spec
RO4003C,3.55,0.0027,0.508,0.004137559057606446,40.70041245692691,32.49532054109175,1322.5729489424837,3.464058741139682,147.1691485675499,True,9.811217879734897,182.09492960648254,379.84654072044947,370.3703703703703,92.38487020158396,0.5073445504563631,0.7653926712626675,6.3198149947603035,3.3728449932123867,True,False,False,False
RO4003C,3.55,0.0027,0.813,0.006621723452429213,40.70041245692691,32.414880038097174,1319.2989872923615,3.420121070552723,194.0964539197469,True,10.714816138711422,113.34719980531693,607.9040110348925,370.3703703703703,75.94486890614799,0.6700198067229671,0.9310477388852205,6.335404380573678,4.596280793005004,True,False,False,False
RO4003C,3.55,0.0027,1.524,0.012412677172819337,40.70041245692691,32.165660514222566,1309.1556498783461,3.334073828044385,237.67990298931818,True,11.204276888940262,59.75355528330829,1139.5396221613485,370.3703703703703,49.22967074196233,0.8238785208436673,1.4363516217144556,6.367084622462347,5.525716428552698,True,False,True,False
FR-4,4.4,0.02,0.8,0.006515841035600703,37.36006548502783,29.15305474167496,1089.160034237578,4.216311360648165,83.91382386453597,True,6.3932698754230435,131.2715733043979,598.1835286936213,50.0,34.14190090514538,0.2600860189736261,2.0710839002743024,6.051722784376091,0.2028928559003389,True,False,False,False
FR-4,4.4,0.02,1.0,0.008144801294500879,37.36006548502783,29.101858421226886,1087.2473363530455,4.178988755619139,99.65268435226986,True,7.2593218715938495,104.7517719165901,747.7294108670266,50.0,32.3794770158881,0.309106723671182,2.1838128259980643,6.060693093277355,0.9617776124168376,True,False,False,False
FR-4,4.4,0.02,1.2,0.009773761553401053,37.36006548502783,29.043550107239543,1085.0689339241565,4.144293069316456,113.5038826721046,True,7.812136342965657,87.04165617449407,897.2752930404317,50.0,30.67180094896661,0.35238071398226,2.3053977861295647,6.06917363975024,1.5392949515576957,True,False,False,False
FR-4,4.4,0.02,1.6,0.013031682071201405,37.36006548502783,28.908602192537984,1080.0272709938383,4.0816491811440105,136.72290796974528,True,8.47829873463323,64.84619451347072,1196.3670573872425,50.0,27.58090431335648,0.4253280322814781,2.5637552114764586,6.084842091354107,2.3720821602993003,True,False,False,False
FR-4,4.4,0.02,2.0,0.016289602589001757,37.36006548502783,28.753264675066568,1074.2238511688247,4.026507862731526,155.38167777371908,True,8.856062324449852,51.47836761115736,1495.4588217340531,50.0,24.94118463800235,0.4844983591242825,2.8350971591260694,6.099027794692863,2.95195090010918,True,False,False,False
FR-4,4.4,0.02,2.4,0.019547523106802106,37.36006548502783,28.581389866743926,1067.8025970746642,3.977481950068392,170.66392329943648,True,9.087270197219777,42.533220497242304,1794.5505860808635,50.0,22.692060456676966,0.5335138085334553,3.1160961613911597,6.111962458095615,3.3834191023035878,True,False,False,False
FR-4,4.4,0.02,3.2,0.02606336414240281,37.36006548502783,28.199381455424373,1053.5307378119342,3.89380272278496,194.07321999901484,True,9.321056503268338,31.296629999671236,2392.734114774485,50.0,19.094809064332267,0.6101234882008975,3.7031422274796446,6.134773151748016,3.9889505972084387,True,True,False,False
RT/duroid 6010.2LM,10.2,0.0023,0.254,0.002068779528803223,25.941524666143145,19.239954912946374,499.11376494968033,9.951460375372754,83.00549974122148,True,4.178584337521706,778.5791488332253,189.92327036022473,434.7826086956522,112.99849787622826,0.14513424620421345,0.6257678791700152,5.329963274004633,-3.0523377096364745,False,False,False,False
RT/duroid 6010.2LM,10.2,0.0023,0.635,0.005171948822008058,25.941524666143145,19.220479361919406,498.60853946232754,9.64421968991479,241.21455496833013,True,6.718276518281276,311.05541701784966,474.8081759005619,434.7826086956522,131.21680763434733,0.42184382735510295,0.5388887118628072,5.343672734196562,1.59518972079829,True,False,False,False
RT/duroid 6010.2LM,10.2,0.0023,1.27,0.010343897644016116,25.941524666143145,19.100159835520863,495.487267500441,9.25093725828842,376.33035781439185,True,7.281727756209927,154.36766653227252,949.6163518011238,434.7826086956522,101.71804448674017,0.6589336146081778,0.6951641404865977,5.362542104288882,3.5509587348784017,True,False,False,False
RT/duroid 6010.2LM,10.2,0.0023,1.905,0.015515846466024172,25.941524666143145,18.90731479889417,490.4845732260464,8.953813318978376,436.72084506307493,True,7.376249924054188,101.67740317623259,1424.4245277016855,434.7826086956522,77.89942734195739,0.7661429669573487,0.907694799438528,5.377889928049058,4.22098812002975,True,False,False,False
RT/duroid 6010.2LM,10.2,0.0023,2.54,0.020687795288032232,25.941524666143145,18.66751994644377,484.26392914639024,8.719127814295392,469.0892354242135,True,7.357564895492628,75.1134349901765,1899.2327036022475,434.7826086956522,61.95892052924578,0.8248713500767061,1.1412775067494911,5.390746886727618,4.5546090836383435,True,False,True,False
