substrate,eps_r,tan_delta,h_mm,h_over_lambda0,W_mm,L_mm,area_mm2,eps_eff,R_edge_ohm,matchable_by_inset,inset_mm,Q_rad,Q_c,Q_d,Q_t,efficiency,bandwidth_pct,directivity_dBi,gain_dBi,in_thin_substrate_range
RO4003C,3.55,0.0027,3.400318,0.02769491525423729,40.70041245692691,31.249331246281624,1271.8606707267961,3.175989057449512,263.31696076762177,True,11.139770244708119,25.630836138765247,2542.517848906233,370.3703703703703,23.747996538434023,0.926540063299631,2.9775429810435035,6.4295981738372525,6.098240202008452,True
RO4003C,3.55,0.0027,3.498124,0.028491525423728816,40.70041245692691,31.19493118276444,1269.6465657039635,3.1695711089778205,263.74354317433256,True,11.124266642964459,24.84900157013431,2615.650247252985,370.3703703703703,23.08115951718653,0.9288566163128049,3.063567054583285,6.4322629037179535,6.1117496932761926,True
RO4003C,3.55,0.0027,3.59593,0.02928813559322034,40.70041245692691,31.140059813211572,1267.4132783310854,3.1632883846570543,264.1312395302414,True,11.108218670293152,24.10927519838434,2688.7826455997374,370.3703703703703,22.446826071941068,0.9310452465798442,3.1501373120881375,6.434881562945355,6.124589434654203,True
RO4003C,3.55,0.0027,3.693736,0.030084745762711865,40.70041245692691,31.08473677507063,1265.1616078603786,3.1571362016757814,264.4831324214963,True,11.091665475960253,23.408337134319275,2761.9150439464893,370.3703703703703,21.842698157165557,0.9331161812917367,3.2372583312438357,6.437455525446972,6.13681273196454,True
RO4003C,3.55,0.0027,3.791542,0.030881355932203394,40.70041245692691,31.028980816060226,1262.892317331724,3.1511101011544502,264.8019924108617,True,11.074642423751714,22.74320890341717,2835.0474422932416,370.3703703703703,21.266687746601693,0.9350785914562114,3.324934963998319,6.439986106982803,6.148467246738586,True
RO4003C,3.55,0.0027,3.889348,0.03167796610169492,40.70041245692691,30.972809844228024,1260.6061356100467,3.1452058345629004,265.09031669441475,True,11.057181568227696,22.11121057853716,2908.1798406399935,370.3703703703703,20.716893647385213,0.9369407239735043,3.4131695685453933,6.442474568326794,6.159595727305655,True
RO4003C,3.55,0.0027,3.987154,0.03247457627118644,40.70041245692691,30.916240974592235,1258.303759283648,3.1394193511314024,265.3503621573041,True,11.03931205885153,21.50992421802368,2981.312238986746,370.3703703703703,20.191581274608946,0.9387100145006525,3.5019608306301255,6.444922118235641,6.1702366292599455,True
RO4003C,3.55,0.0027,4.08496,0.033271186440677974,40.70041245692691,30.859290572640848,1255.9858544346387,3.133746786170468,265.5841737492754,True,11.021060484544284,20.93716255271256,3054.444637333498,370.3703703703703,19.689164962475232,0.9403931842676723,3.591364425174795,6.447329916221699,6.1804246442974335,True
RO4003C,3.55,0.0027,4.182766,0.034067796610169496,40.70041245692691,30.801974294937366,1253.6530582916114,3.1281844502229075,265.7936089325044,True,11.00245116877438,20.390942062950916,3127.57703568025,370.3703703703703,19.208192454589764,0.9419963234307779,3.68128467641883,6.449699075145214,6.190191152789048,True
RO4003C,3.55,0.0027,4.280572,0.03486440677966102,40.70041245692691,30.744307127059344,1251.305980773753,3.1227288189789375,265.9803588197241,True,10.983506423371663,19.869459743716742,3200.709434027002,370.3703703703703,18.747331271213124,0.9435249630851958,3.771774474300659,6.4520306636397615,6.199564612589217,True
RO4003C,3.55,0.0027,4.378378,0.035661016949152545,40.70041245692691,30.686303419075724,1248.9452059347886,3.1173765238917235,266.1459665124222,True,10.964246767736173,19.371072981341886,3273.841832373754,370.3703703703703,18.305356697367003,0.9449841376881201,3.8628368202986514,6.454325708383526,6.208570894297982,True
RO4003C,3.55,0.0027,4.476184,0.03645762711864407,40.70041245692691,30.627976918750676,1246.57129331439,3.112124343436566,266.2918430614368,True,10.94469111890237,18.894282066097244,3346.9742307205065,370.3703703703703,17.881141174196078,0.946378439341758,3.954474810916935,6.456585196227972,6.217233571370469,True
RO4003C,3.55,0.0027,4.57399,0.0372542372881356,40.70041245692691,30.569340802645343,1244.1847792040307,3.1069691949622102,266.4192814012796,True,10.924856956951933,18.437714946266464,3420.106629067259,370.3703703703703,17.473644908233187,0.9477120651424055,4.046741623821026,6.458810076194492,6.225574172000655,True
RO4003C,3.55,0.0027,4.671796,0.038050847457627116,40.70041245692691,30.510407705273806,1241.7861778336448,3.101908127087449,266.52946855161406,True,10.904760469488902,18.000113895371427,3493.2390274140103,370.3703703703703,17.08190754028318,0.9489888586024805,4.139540506179933,6.4610012613486205,6.233612398520737,True
RO4003C,3.55,0.0027,4.769602,0.038847457627118644,40.70041245692691,30.451189746456674,1239.3759824849303,3.096938312600408,266.62349633189,True,10.884416678261381,17.580323818064496,3566.3714257607626,370.3703703703703,16.70504073841815,0.9502123459895,4.232924764852875,6.463159630560737,6.241366319094991,True
RO4003C,3.55,0.0027,4.867408,0.03964406779661017,40.70041245692691,30.39169855700308,1236.9546665366158,3.092057041821711,266.70237079613236,True,10.863839550501524,17.177281964315533,3639.503824107515,370.3703703703703,16.342221598788093,0.9513857682919676,4.32689775812218,6.4652860301613035,6.248852535701679,True
RO4003C,3.55,0.0027,4.965214,0.0404406779661017,40.70041245692691,30.331945302841486,1234.5226844465953,3.0872617163961236,266.7670205626759,True,10.843042097137666,16.79000885781566,3712.636222454267,370.3703703703703,15.992686754195924,0.9525121094115095,4.42146288872679,6.467381275498135,6.256086331753371,True
RO4003C,3.55,0.0027,5.06302,0.04123728813559323,40.70041245692691,30.271940707709202,1232.0804726754004,3.0825498434803693,266.81830418694096,True,10.822036459689288,16.417600274504405,3785.76862080102,370.3703703703703,15.655727104154906,0.9535941210888996,4.5166235979924805,6.469446152402495,6.2630818021766,True
RO4003C,3.55,0.0027,5.160826,0.04203389830508475,40.70041245692691,30.211695074502103,1229.6284505551428,3.0779190302975734,266.8570167031381,True,10.800833987373032,16.059220131998,3858.901019147771,370.3703703703703,15.330683091846216,0.9546343449953605,4.612383360889505,6.471481418570352,6.269851968334665,True
RO4003C,3.55,0.0027,5.258631,0.04283050847457628,40.70041245692691,30.151218305377515,1227.1670211077096,3.073366979031324,266.8838954422478,True,10.779445305714177,15.714094171405062,3932.0334174945233,370.3703703703703,15.016940463358713,0.955635132356852,4.708716775419662,6.473487804864559,6.276408879814685,True
RO4003C,3.55,0.0027,5.356437,0.043627118644067805,40.70041245692691,30.090519920695883,1224.696571815698,3.068891482034591,266.8996252180875,True,10.757880377763934,15.38150433032187,4005.1658158412756,370.3703703703703,14.713926453100234,0.956598661425747,4.805681539698976,6.475466016543311,6.282763704798243,True
RO4003C,3.55,0.0027,5.454243,0.044423728813559334,40.70041245692691,30.029609076880146,1222.2174753492982,3.0644904173308154,266.90484296022163,True,10.736148558861055,15.060783720312893,4078.2982141880284,370.3703703703703,14.421106346549605,0.9575269530694782,4.903264171517111,6.47741673441979,6.288926810482741,True
RO4003C,3.55,0.0027,5.552049,0.04522033898305085,40.70041245692691,29.968494583265585,1219.7300902520892,3.0601617443863396,266.90014186146374,True,10.71425864574081,14.751312134395304,4151.430612534779,370.3703703703703,14.137980377762657,0.9584218847079674,5.001501467196173,6.4793406159575735,6.294907834809301,True
RO4003C,3.55,0.0027,5.649855,0.046016949152542376,40.70041245692691,29.907184918007193,1217.2347615884767,3.055903500135054,266.88607509840716,True,10.692218920680778,14.45251202035653,4224.563010881532,370.3703703703703,13.864080924412923,0.9592852027997074,5.100306245352451,6.481238296305962,6.300715750575193,True
RO4003C,3.55,0.0027,5.747661,0.046813559322033904,40.70041245692691,29.84568824310669,1214.7318215552966,3.0517137952376614,266.86315917552076,True,10.670037191277,14.163844864465903,4297.695409228284,370.3703703703703,13.59896996777231,0.9601185340492719,5.199732000311446,6.483110389279149,6.306358922858846,True
RO4003C,3.55,0.0027,5.845467,0.04761016949152543,40.70041245692691,29.78401241861635,1212.2215900599185,3.0475908105593685,266.8318769366302,True,10.647720826363138,13.884807937558596,4370.827807575037,370.3703703703703,13.34223678902968,0.9609233954859935,5.299782262429716,6.484957488282818,6.3118451605584855,True
RO4003C,3.55,0.0027,5.943273,0.048406779661016947,40.70041245692691,29.722165016072758,1209.704375267005,3.043532793851098,266.7926802818682,True,10.625276788516492,13.614931361789118,4443.960205921788,370.3703703703703,13.093495876800109,0.9617012035438944,5.400460593237437,6.4867801671914815,6.3171817627377145,True
RO4003C,3.55,0.0027,6.041079,0.049203389830508475,40.70041245692691,29.66015333120963,1207.1804741159267,3.039538056620454,266.7459926232769,True,10.602711663536505,13.35377546175008,4517.0926042685405,370.3703703703703,12.85238502367297,0.9624532822561477,5.501770581524601,6.488578981179678,6.3223755603795855,True
RO4003C,3.55,0.0027,6.138885,0.05,40.70041245692691,29.597984395995145,1204.6501728106891,3.0356049711797652,266.69221110803727,True,10.580031687231278,13.100928368276673,4590.225002615292,370.3703703703703,12.61856359224958,0.9631808706629433,5.603715840196732,6.490354467509865,6.327432954072357,True
FR-4,4.4,0.02,0.368333,0.003,37.36006548502783,29.234813585984664,1092.2145500149684,4.307563701956937,41.60299274803017,False,nan,286.2686634319607,275.41350015691756,50.0,36.86754722857595,0.12878652796497406,1.6891792281724665,6.030431133373725,-2.870864517171063,True
FR-4,4.4,0.02,0.466139,0.0037966101694915256,37.36006548502783,29.22013108154676,1091.6660106876843,4.285448983732074,52.35050473374682,True,1.9858992357003478,226.0394477469734,348.54589850366966,50.0,36.639338517348186,0.16209267401131658,1.9299146862123375,6.035509657970599,-1.8668564741338693,True
FR-4,4.4,0.02,0.563945,0.004593220338983051,37.36006548502783,29.20308408485545,1091.0291337749738,4.264222528132466,62.3771650299018,True,4.291564400571023,186.67981567375816,421.67829685042176,50.0,36.06431355896604,0.1931880713980995,1.9606856386489142,6.040432665495018,-1.0997642651552386,True
FR-4,4.4,0.02,0.661751,0.005389830508474577,37.36006548502783,29.183817490975084,1090.30933256593,4.243826420818274,71.73155163356162,True,5.414487908884522,158.93744375337585,494.8106951971739,50.0,35.31976582615441,0.22222432292896502,2.002016782044178,6.045208469864117,-0.4868756134427748,True
FR-4,4.4,0.02,0.759557,0.006186440677966102,37.36006548502783,29.162464646838533,1089.5115889106967,4.224207899610344,80.46867525846578,True,6.1527041482435685,138.3255108682372,567.943093543926,50.0,34.49457687865831,0.2493724885752732,2.0499091113782315,6.049844753065208,0.018330145894034207,True
FR-4,4.4,0.02,0.857363,0.006983050847457628,37.36006548502783,29.139148520862523,1088.640496917376,4.205318779781898,88.64208690257932,True,6.68891764815306,122.40451791706506,641.0754918906781,50.0,33.636610224348814,0.2747987639405535,2.102195579401268,6.05434862702261,0.44449637614503734,True
FR-4,4.4,0.02,0.955169,0.007779661016949153,37.36006548502783,29.113982729249372,1087.700301294726,4.187114955809844,96.30132540573649,True,7.100486484896967,109.73409992118368,714.2078902374303,50.0,32.77281968400318,0.2986566592111495,2.1576026235256665,6.058726688101469,0.8104487155777268,True
FR-4,4.4,0.02,1.052975,0.008576271186440679,37.36006548502783,29.087072439462446,1086.6949311060653,4.169555967847626,103.49127622566503,True,7.427968826386286,99.40900553311319,787.3402885841824,50.0,31.918747988677616,0.3210850749135144,2.215334776379482,6.062985065274336,1.1291862513239797,True
FR-4,4.4,0.02,1.150781,0.009372881355932203,37.36006548502783,29.05851516803281,1085.6280295753804,4.152604623212865,110.25225165590287,True,7.695307322785181,90.83170138451358,860.4726869309345,50.0,31.083389102381346,0.3422085970931833,2.274871149114197,6.067129462813346,1.410038621329099,True
FR-4,4.4,0.02,1.248587,0.01016949152542373,37.36006548502783,29.02840148712885,1084.5029804848132,4.136226664824938,116.62033582558335,True,7.917778593333934,83.59185204014419,933.6050852776866,50.0,30.271836426169468,0.3621386018775096,2.335857604303787,6.071165198236893,1.6599134038457857,True
FR-4,4.4,0.02,1.346393,0.010966101694915254,37.36006548502783,28.996815652077782,1083.322931618906,4.120390479861747,122.62780838503865,True,8.105689164977708,77.39832927173154,1006.7374836244387,50.0,29.4867972113394,0.38097459581868476,2.398045955588418,6.075097236128961,1.8840574059139588,True
FR-4,4.4,0.02,1.444199,0.01176271186440678,37.36006548502783,28.96383616017412,1082.0908156417222,4.1050668429942805,128.3035695446602,True,8.26629378135003,72.03884845718072,1079.8698819711908,50.0,28.729492898166516,0.3988055544119793,2.4612578968453116,6.078930218357409,2.086542202057359,True
FR-4,4.4,0.02,1.542005,0.012559322033898307,37.36006548502783,28.92953624957153,1080.8093687354788,4.090228689451349,133.67353549070828,True,8.40487341332129,67.35496583739774,1153.0022803179431,50.0,28.00021126457395,0.4157111642246174,2.525362678293842,6.082668491140825,2.2705853706999575,True
FR-4,4.4,0.02,1.639811,0.013355932203389832,37.36006548502783,28.893984345771457,1079.4811472813908,4.075850913903464,138.76099363820273,True,8.525378903794074,63.22602329933963,1226.1346786646952,50.0,27.29865351525258,0.4317629370110599,2.5902627877539373,6.086316129349548,2.4387697223372395,True
FR-4,4.4,0.02,1.737617,0.014152542372881358,37.36006548502783,28.857244462148284,1078.1085428233166,4.061910191764546,143.5869162439563,True,8.630834180010382,59.5585152703485,1299.2670770114473,50.0,26.62415672466771,0.4470251920118411,2.6558844810974054,6.089876958372448,2.5931969423415446,True
